order,class,species,village,response,seenCount,seenPercentage
1,mammal,Banded mongoose,Ka-Ndengeza,No,53,91.38
2,mammal,Banded mongoose,Ka-Ndengeza,Yes,4,6.9
3,mammal,Banded mongoose,Ka-Ndengeza,Not sure,1,1.72
4,mammal,Dwarf mongoose,Ka-Ndengeza,No,30,51.72
5,mammal,Dwarf mongoose,Ka-Ndengeza,Yes,26,44.83
6,mammal,Dwarf mongoose,Ka-Ndengeza,Not sure,2,3.45
7,mammal,Slender mongoose,Ka-Ndengeza,No,5,8.62
8,mammal,Slender mongoose,Ka-Ndengeza,Yes,53,91.38
9,mammal,Slender mongoose,Ka-Ndengeza,Not sure,0,0
10,mammal,Yellow mongoose,Ka-Ndengeza,No,24,41.38
11,mammal,Yellow mongoose,Ka-Ndengeza,Yes,34,58.62
12,mammal,Yellow mongoose,Ka-Ndengeza,Not sure,0,0
13,mammal,White tailed mongoose,Ka-Ndengeza,No,48,82.76
14,mammal,White tailed mongoose,Ka-Ndengeza,Yes,10,17.24
15,mammal,White tailed mongoose,Ka-Ndengeza,Not sure,0,0
16,mammal,Water mongoose,Ka-Ndengeza,No,58,100
17,mammal,Water mongoose,Ka-Ndengeza,Yes,0,0
18,mammal,Water mongoose,Ka-Ndengeza,Not sure,0,0
19,mammal,Black backed jackal,Ka-Ndengeza,No,47,81.03
20,mammal,Black backed jackal,Ka-Ndengeza,Yes,11,18.97
21,mammal,Black backed jackal,Ka-Ndengeza,Not sure,0,0
22,mammal,African civet,Ka-Ndengeza,No,57,98.28
23,mammal,African civet,Ka-Ndengeza,Yes,1,1.72
24,mammal,African civet,Ka-Ndengeza,Not sure,0,0
25,mammal,Small spotted genet,Ka-Ndengeza,No,39,67.24
26,mammal,Small spotted genet,Ka-Ndengeza,Yes,19,32.76
27,mammal,Small spotted genet,Ka-Ndengeza,Not sure,0,0
28,mammal,Striped polecat,Ka-Ndengeza,No,41,70.69
29,mammal,Striped polecat,Ka-Ndengeza,Yes,17,29.31
30,mammal,Striped polecat,Ka-Ndengeza,Not sure,0,0
31,mammal,Caracal,Ka-Ndengeza,No,58,100
32,mammal,Caracal,Ka-Ndengeza,Yes,0,0
33,mammal,Caracal,Ka-Ndengeza,Not sure,0,0
34,mammal,Serval,Ka-Ndengeza,No,58,100
35,mammal,Serval,Ka-Ndengeza,Yes,0,0
36,mammal,Serval,Ka-Ndengeza,Not sure,0,0
37,mammal,African wildcat,Ka-Ndengeza,No,30,51.72
38,mammal,African wildcat,Ka-Ndengeza,Yes,27,46.55
